file_path,input_deepth,vul_deepth
..\gpickle\avr-code-gallery_10.gpickle,2,2
..\gpickle\avr-code-gallery_11.gpickle,1,1
..\gpickle\avr-code-gallery_12.gpickle,1,1
..\gpickle\avr-code-gallery_13.gpickle,0,0
..\gpickle\avr-code-gallery_14.gpickle,0,0
..\gpickle\avr-code-gallery_15.gpickle,7,3
..\gpickle\avr-code-gallery_16.gpickle,7,2
..\gpickle\avr-code-gallery_17.gpickle,2,2
..\gpickle\avr-code-gallery_18.gpickle,2,3
..\gpickle\avr-code-gallery_6.gpickle,7,2
..\gpickle\avr-code-gallery_7.gpickle,0,0
..\gpickle\avr-code-gallery_8.gpickle,0,0
..\gpickle\avr-code-gallery_9.gpickle,4,2
..\gpickle\AVR-Keyboard_0.gpickle,4,4
..\gpickle\AVR-Programming_0.gpickle,1,1
..\gpickle\AVR-Programming_1.gpickle,1,1
..\gpickle\AVR-Programming_10.gpickle,0,0
..\gpickle\AVR-Programming_11.gpickle,0,0
..\gpickle\AVR-Programming_12.gpickle,1,1
..\gpickle\AVR-Programming_13.gpickle,1,1
..\gpickle\AVR-Programming_14.gpickle,3,3
..\gpickle\AVR-Programming_15.gpickle,1,1
..\gpickle\AVR-Programming_16.gpickle,0,0
..\gpickle\AVR-Programming_17.gpickle,1,1
..\gpickle\AVR-Programming_18.gpickle,1,2
..\gpickle\AVR-Programming_19.gpickle,1,1
..\gpickle\AVR-Programming_2.gpickle,6,3
..\gpickle\AVR-Programming_20.gpickle,4,3
..\gpickle\AVR-Programming_21.gpickle,0,0
..\gpickle\AVR-Programming_22.gpickle,4,2
..\gpickle\AVR-Programming_23.gpickle,1,1
..\gpickle\AVR-Programming_24.gpickle,1,1
..\gpickle\AVR-Programming_25.gpickle,3,0
..\gpickle\AVR-Programming_26.gpickle,1,1
..\gpickle\AVR-Programming_27.gpickle,1,1
..\gpickle\AVR-Programming_28.gpickle,11,5
..\gpickle\AVR-Programming_29.gpickle,0,0
..\gpickle\AVR-Programming_3.gpickle,0,0
..\gpickle\AVR-Programming_30.gpickle,1,1
..\gpickle\AVR-Programming_31.gpickle,2,0
..\gpickle\AVR-Programming_32.gpickle,3,4
..\gpickle\AVR-Programming_33.gpickle,1,1
..\gpickle\AVR-Programming_34.gpickle,0,0
..\gpickle\AVR-Programming_35.gpickle,0,0
..\gpickle\AVR-Programming_36.gpickle,2,1
..\gpickle\AVR-Programming_37.gpickle,0,0
..\gpickle\AVR-Programming_38.gpickle,2,4
..\gpickle\AVR-Programming_39.gpickle,0,0
..\gpickle\AVR-Programming_4.gpickle,1,1
..\gpickle\AVR-Programming_40.gpickle,0,0
..\gpickle\AVR-Programming_41.gpickle,0,0
..\gpickle\AVR-Programming_42.gpickle,3,0
..\gpickle\AVR-Programming_43.gpickle,0,0
..\gpickle\AVR-Programming_44.gpickle,1,1
